modelo,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,cenario,qtd_variaveis,variaveis,estrategia_validacao,qtd_treino,qtd_teste,observacao
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,A_todas_variaveis,12,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos; indice_transicao_preliminar,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
knn,0.9655172413793104,0.9736842105263157,0.9626769626769627,0.9658722762171038,0.9545454545454546,0.9736842105263157,A_todas_variaveis,12,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos; indice_transicao_preliminar,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
random_forest,0.9655172413793104,0.95,0.9608636977058029,0.9650518870119595,0.975,0.95,A_todas_variaveis,12,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos; indice_transicao_preliminar,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
logistic_regression,1.0,1.0,1.0,1.0,1.0,1.0,B_sem_indice_transicao_preliminar,11,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
knn,0.9655172413793104,0.9736842105263157,0.9626769626769627,0.9658722762171038,0.9545454545454546,0.9736842105263157,B_sem_indice_transicao_preliminar,11,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
random_forest,0.9310344827586207,0.9236842105263158,0.9236842105263158,0.9310344827586207,0.9236842105263158,0.9236842105263158,B_sem_indice_transicao_preliminar,11,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp; tendencia_renovaveis_5anos,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
knn,0.5172413793103449,0.5842105263157895,0.5166666666666666,0.5114942528735632,0.5888888888888889,0.5842105263157895,C_apenas_variaveis_energia,6,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
logistic_regression,0.5172413793103449,0.6078947368421053,0.5120192307692308,0.4963527851458886,0.6331168831168831,0.6078947368421053,C_apenas_variaveis_energia,6,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
random_forest,0.5172413793103449,0.6078947368421053,0.5120192307692308,0.4963527851458886,0.6331168831168831,0.6078947368421053,C_apenas_variaveis_energia,6,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; energy_per_capita; energy_per_gdp; variacao_renewables_share_energy_pp,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
random_forest,0.8620689655172413,0.8710526315789473,0.6120857699805068,0.9090542448074208,0.6470588235294118,0.5807017543859648,D_apenas_variaveis_eletricidade,4,renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
knn,0.8275862068965517,0.8210526315789474,0.5689900426742532,0.85701672634522,0.5925925925925926,0.5473684210526316,D_apenas_variaveis_eletricidade,4,renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
logistic_regression,0.7241379310344828,0.7184210526315788,0.5573380867498514,0.8398795254779027,0.6666666666666666,0.47894736842105257,D_apenas_variaveis_eletricidade,4,renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
logistic_regression,0.9655172413793104,0.9736842105263157,0.9626769626769627,0.9658722762171038,0.9545454545454546,0.9736842105263157,E_sem_variaveis_derivadas,9,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
random_forest,0.9310344827586207,0.9236842105263158,0.9236842105263158,0.9310344827586207,0.9236842105263158,0.9236842105263158,E_sem_variaveis_derivadas,9,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
knn,0.896551724137931,0.8973684210526316,0.888030888030888,0.8976168286513113,0.8813131313131313,0.8973684210526316,E_sem_variaveis_derivadas,9,renewables_share_energy; fossil_share_energy; low_carbon_share_energy; renewables_share_elec; fossil_share_elec; low_carbon_share_elec; carbon_intensity_elec; energy_per_capita; energy_per_gdp,temporal_treino_ate_2022_teste_2023_em_diante,230,29,Classificacao dos rotulos derivados da clusterizacao original.
