country,variavel,qtd_ausentes,pct_ausentes,qtd_observacoes
Argentina,population,0,0.0,126
Argentina,gdp,3,2.38,126
Argentina,primary_energy_consumption,66,52.38,126
Argentina,energy_per_capita,66,52.38,126
Argentina,energy_per_gdp,68,53.97,126
Argentina,electricity_generation,85,67.46,126
Argentina,electricity_demand,100,79.37,126
Argentina,per_capita_electricity,85,67.46,126
Argentina,fossil_share_energy,66,52.38,126
Argentina,fossil_electricity,85,67.46,126
Argentina,fossil_share_elec,85,67.46,126
Argentina,coal_consumption,66,52.38,126
Argentina,coal_share_energy,66,52.38,126
Argentina,coal_electricity,85,67.46,126
Argentina,coal_share_elec,85,67.46,126
Argentina,oil_consumption,66,52.38,126
Argentina,oil_share_energy,66,52.38,126
Argentina,oil_electricity,85,67.46,126
Argentina,oil_share_elec,85,67.46,126
Argentina,gas_consumption,66,52.38,126
Argentina,gas_share_energy,66,52.38,126
Argentina,gas_electricity,85,67.46,126
Argentina,gas_share_elec,85,67.46,126
Argentina,renewables_consumption,66,52.38,126
Argentina,renewables_share_energy,66,52.38,126
Argentina,renewables_electricity,65,51.59,126
Argentina,renewables_share_elec,85,67.46,126
Argentina,low_carbon_consumption,66,52.38,126
Argentina,low_carbon_share_energy,66,52.38,126
Argentina,low_carbon_electricity,65,51.59,126
Argentina,low_carbon_share_elec,85,67.46,126
Argentina,hydro_consumption,66,52.38,126
Argentina,hydro_share_energy,66,52.38,126
Argentina,hydro_electricity,65,51.59,126
Argentina,hydro_share_elec,85,67.46,126
Argentina,solar_consumption,66,52.38,126
Argentina,solar_share_energy,66,52.38,126
Argentina,solar_electricity,65,51.59,126
Argentina,solar_share_elec,85,67.46,126
Argentina,wind_consumption,66,52.38,126
Argentina,wind_share_energy,66,52.38,126
Argentina,wind_electricity,65,51.59,126
Argentina,wind_share_elec,85,67.46,126
Argentina,biofuel_consumption,66,52.38,126
Argentina,biofuel_share_energy,66,52.38,126
Argentina,biofuel_electricity,100,79.37,126
Argentina,biofuel_share_elec,100,79.37,126
Argentina,nuclear_consumption,66,52.38,126
Argentina,nuclear_share_energy,66,52.38,126
Argentina,nuclear_electricity,65,51.59,126
Argentina,nuclear_share_elec,85,67.46,126
Argentina,carbon_intensity_elec,100,79.37,126
Argentina,greenhouse_gas_emissions,100,79.37,126
Bolivia,population,0,0.0,126
Bolivia,gdp,3,2.38,126
Bolivia,primary_energy_consumption,82,65.08,126
Bolivia,energy_per_capita,82,65.08,126
Bolivia,energy_per_gdp,83,65.87,126
Bolivia,electricity_generation,100,79.37,126
Bolivia,electricity_demand,100,79.37,126
Bolivia,per_capita_electricity,100,79.37,126
Bolivia,fossil_share_energy,126,100.0,126
Bolivia,fossil_electricity,100,79.37,126
Bolivia,fossil_share_elec,100,79.37,126
Bolivia,coal_consumption,126,100.0,126
Bolivia,coal_share_energy,126,100.0,126
Bolivia,coal_electricity,100,79.37,126
Bolivia,coal_share_elec,100,79.37,126
Bolivia,oil_consumption,126,100.0,126
Bolivia,oil_share_energy,126,100.0,126
Bolivia,oil_electricity,100,79.37,126
Bolivia,oil_share_elec,100,79.37,126
Bolivia,gas_consumption,126,100.0,126
Bolivia,gas_share_energy,126,100.0,126
Bolivia,gas_electricity,100,79.37,126
Bolivia,gas_share_elec,100,79.37,126
Bolivia,renewables_consumption,126,100.0,126
Bolivia,renewables_share_energy,126,100.0,126
Bolivia,renewables_electricity,100,79.37,126
Bolivia,renewables_share_elec,100,79.37,126
Bolivia,low_carbon_consumption,126,100.0,126
Bolivia,low_carbon_share_energy,126,100.0,126
Bolivia,low_carbon_electricity,100,79.37,126
Bolivia,low_carbon_share_elec,100,79.37,126
Bolivia,hydro_consumption,126,100.0,126
Bolivia,hydro_share_energy,126,100.0,126
Bolivia,hydro_electricity,100,79.37,126
Bolivia,hydro_share_elec,100,79.37,126
Bolivia,solar_consumption,126,100.0,126
Bolivia,solar_share_energy,126,100.0,126
Bolivia,solar_electricity,100,79.37,126
Bolivia,solar_share_elec,100,79.37,126
Bolivia,wind_consumption,126,100.0,126
Bolivia,wind_share_energy,126,100.0,126
Bolivia,wind_electricity,100,79.37,126
Bolivia,wind_share_elec,100,79.37,126
Bolivia,biofuel_consumption,71,56.35,126
Bolivia,biofuel_share_energy,126,100.0,126
Bolivia,biofuel_electricity,100,79.37,126
Bolivia,biofuel_share_elec,100,79.37,126
Bolivia,nuclear_consumption,71,56.35,126
Bolivia,nuclear_share_energy,126,100.0,126
Bolivia,nuclear_electricity,70,55.56,126
Bolivia,nuclear_share_elec,100,79.37,126
Bolivia,carbon_intensity_elec,100,79.37,126
Bolivia,greenhouse_gas_emissions,100,79.37,126
Brazil,population,0,0.0,126
Brazil,gdp,3,2.38,126
Brazil,primary_energy_consumption,66,52.38,126
Brazil,energy_per_capita,66,52.38,126
Brazil,energy_per_gdp,68,53.97,126
Brazil,electricity_generation,85,67.46,126
Brazil,electricity_demand,100,79.37,126
Brazil,per_capita_electricity,85,67.46,126
Brazil,fossil_share_energy,66,52.38,126
Brazil,fossil_electricity,85,67.46,126
Brazil,fossil_share_elec,85,67.46,126
Brazil,coal_consumption,66,52.38,126
Brazil,coal_share_energy,66,52.38,126
Brazil,coal_electricity,85,67.46,126
Brazil,coal_share_elec,85,67.46,126
Brazil,oil_consumption,66,52.38,126
Brazil,oil_share_energy,66,52.38,126
Brazil,oil_electricity,85,67.46,126
Brazil,oil_share_elec,85,67.46,126
Brazil,gas_consumption,66,52.38,126
Brazil,gas_share_energy,66,52.38,126
Brazil,gas_electricity,85,67.46,126
Brazil,gas_share_elec,85,67.46,126
Brazil,renewables_consumption,66,52.38,126
Brazil,renewables_share_energy,66,52.38,126
Brazil,renewables_electricity,65,51.59,126
Brazil,renewables_share_elec,85,67.46,126
Brazil,low_carbon_consumption,66,52.38,126
Brazil,low_carbon_share_energy,66,52.38,126
Brazil,low_carbon_electricity,65,51.59,126
Brazil,low_carbon_share_elec,85,67.46,126
Brazil,hydro_consumption,66,52.38,126
Brazil,hydro_share_energy,66,52.38,126
Brazil,hydro_electricity,65,51.59,126
Brazil,hydro_share_elec,85,67.46,126
Brazil,solar_consumption,66,52.38,126
Brazil,solar_share_energy,66,52.38,126
Brazil,solar_electricity,65,51.59,126
Brazil,solar_share_elec,85,67.46,126
Brazil,wind_consumption,66,52.38,126
Brazil,wind_share_energy,66,52.38,126
Brazil,wind_electricity,65,51.59,126
Brazil,wind_share_elec,85,67.46,126
Brazil,biofuel_consumption,66,52.38,126
Brazil,biofuel_share_energy,66,52.38,126
Brazil,biofuel_electricity,100,79.37,126
Brazil,biofuel_share_elec,100,79.37,126
Brazil,nuclear_consumption,66,52.38,126
Brazil,nuclear_share_energy,66,52.38,126
Brazil,nuclear_electricity,65,51.59,126
Brazil,nuclear_share_elec,85,67.46,126
Brazil,carbon_intensity_elec,100,79.37,126
Brazil,greenhouse_gas_emissions,100,79.37,126
Chile,population,0,0.0,126
Chile,gdp,3,2.38,126
Chile,primary_energy_consumption,66,52.38,126
Chile,energy_per_capita,66,52.38,126
Chile,energy_per_gdp,68,53.97,126
Chile,electricity_generation,85,67.46,126
Chile,electricity_demand,100,79.37,126
Chile,per_capita_electricity,85,67.46,126
Chile,fossil_share_energy,66,52.38,126
Chile,fossil_electricity,100,79.37,126
Chile,fossil_share_elec,100,79.37,126
Chile,coal_consumption,66,52.38,126
Chile,coal_share_energy,66,52.38,126
Chile,coal_electricity,100,79.37,126
Chile,coal_share_elec,100,79.37,126
Chile,oil_consumption,66,52.38,126
Chile,oil_share_energy,66,52.38,126
Chile,oil_electricity,100,79.37,126
Chile,oil_share_elec,100,79.37,126
Chile,gas_consumption,66,52.38,126
Chile,gas_share_energy,66,52.38,126
Chile,gas_electricity,100,79.37,126
Chile,gas_share_elec,100,79.37,126
Chile,renewables_consumption,66,52.38,126
Chile,renewables_share_energy,66,52.38,126
Chile,renewables_electricity,65,51.59,126
Chile,renewables_share_elec,85,67.46,126
Chile,low_carbon_consumption,66,52.38,126
Chile,low_carbon_share_energy,66,52.38,126
Chile,low_carbon_electricity,65,51.59,126
Chile,low_carbon_share_elec,85,67.46,126
Chile,hydro_consumption,66,52.38,126
Chile,hydro_share_energy,66,52.38,126
Chile,hydro_electricity,65,51.59,126
Chile,hydro_share_elec,85,67.46,126
Chile,solar_consumption,66,52.38,126
Chile,solar_share_energy,66,52.38,126
Chile,solar_electricity,65,51.59,126
Chile,solar_share_elec,85,67.46,126
Chile,wind_consumption,66,52.38,126
Chile,wind_share_energy,66,52.38,126
Chile,wind_electricity,65,51.59,126
Chile,wind_share_elec,85,67.46,126
Chile,biofuel_consumption,66,52.38,126
Chile,biofuel_share_energy,66,52.38,126
Chile,biofuel_electricity,100,79.37,126
Chile,biofuel_share_elec,100,79.37,126
Chile,nuclear_consumption,66,52.38,126
Chile,nuclear_share_energy,66,52.38,126
Chile,nuclear_electricity,65,51.59,126
Chile,nuclear_share_elec,85,67.46,126
Chile,carbon_intensity_elec,100,79.37,126
Chile,greenhouse_gas_emissions,100,79.37,126
Colombia,population,0,0.0,126
Colombia,gdp,3,2.38,126
Colombia,primary_energy_consumption,66,52.38,126
Colombia,energy_per_capita,66,52.38,126
Colombia,energy_per_gdp,68,53.97,126
Colombia,electricity_generation,85,67.46,126
Colombia,electricity_demand,100,79.37,126
Colombia,per_capita_electricity,85,67.46,126
Colombia,fossil_share_energy,66,52.38,126
Colombia,fossil_electricity,100,79.37,126
Colombia,fossil_share_elec,100,79.37,126
Colombia,coal_consumption,66,52.38,126
Colombia,coal_share_energy,66,52.38,126
Colombia,coal_electricity,100,79.37,126
Colombia,coal_share_elec,100,79.37,126
Colombia,oil_consumption,66,52.38,126
Colombia,oil_share_energy,66,52.38,126
Colombia,oil_electricity,100,79.37,126
Colombia,oil_share_elec,100,79.37,126
Colombia,gas_consumption,66,52.38,126
Colombia,gas_share_energy,66,52.38,126
Colombia,gas_electricity,100,79.37,126
Colombia,gas_share_elec,100,79.37,126
Colombia,renewables_consumption,66,52.38,126
Colombia,renewables_share_energy,66,52.38,126
Colombia,renewables_electricity,65,51.59,126
Colombia,renewables_share_elec,85,67.46,126
Colombia,low_carbon_consumption,66,52.38,126
Colombia,low_carbon_share_energy,66,52.38,126
Colombia,low_carbon_electricity,65,51.59,126
Colombia,low_carbon_share_elec,85,67.46,126
Colombia,hydro_consumption,66,52.38,126
Colombia,hydro_share_energy,66,52.38,126
Colombia,hydro_electricity,65,51.59,126
Colombia,hydro_share_elec,85,67.46,126
Colombia,solar_consumption,66,52.38,126
Colombia,solar_share_energy,66,52.38,126
Colombia,solar_electricity,65,51.59,126
Colombia,solar_share_elec,85,67.46,126
Colombia,wind_consumption,66,52.38,126
Colombia,wind_share_energy,66,52.38,126
Colombia,wind_electricity,65,51.59,126
Colombia,wind_share_elec,85,67.46,126
Colombia,biofuel_consumption,66,52.38,126
Colombia,biofuel_share_energy,66,52.38,126
Colombia,biofuel_electricity,100,79.37,126
Colombia,biofuel_share_elec,100,79.37,126
Colombia,nuclear_consumption,66,52.38,126
Colombia,nuclear_share_energy,66,52.38,126
Colombia,nuclear_electricity,65,51.59,126
Colombia,nuclear_share_elec,85,67.46,126
Colombia,carbon_intensity_elec,100,79.37,126
Colombia,greenhouse_gas_emissions,100,79.37,126
Ecuador,population,0,0.0,126
Ecuador,gdp,3,2.38,126
Ecuador,primary_energy_consumption,66,52.38,126
Ecuador,energy_per_capita,66,52.38,126
Ecuador,energy_per_gdp,68,53.97,126
Ecuador,electricity_generation,85,67.46,126
Ecuador,electricity_demand,100,79.37,126
Ecuador,per_capita_electricity,85,67.46,126
Ecuador,fossil_share_energy,66,52.38,126
Ecuador,fossil_electricity,100,79.37,126
Ecuador,fossil_share_elec,100,79.37,126
Ecuador,coal_consumption,66,52.38,126
Ecuador,coal_share_energy,66,52.38,126
Ecuador,coal_electricity,100,79.37,126
Ecuador,coal_share_elec,100,79.37,126
Ecuador,oil_consumption,66,52.38,126
Ecuador,oil_share_energy,66,52.38,126
Ecuador,oil_electricity,100,79.37,126
Ecuador,oil_share_elec,100,79.37,126
Ecuador,gas_consumption,66,52.38,126
Ecuador,gas_share_energy,66,52.38,126
Ecuador,gas_electricity,100,79.37,126
Ecuador,gas_share_elec,100,79.37,126
Ecuador,renewables_consumption,66,52.38,126
Ecuador,renewables_share_energy,66,52.38,126
Ecuador,renewables_electricity,65,51.59,126
Ecuador,renewables_share_elec,85,67.46,126
Ecuador,low_carbon_consumption,66,52.38,126
Ecuador,low_carbon_share_energy,66,52.38,126
Ecuador,low_carbon_electricity,65,51.59,126
Ecuador,low_carbon_share_elec,85,67.46,126
Ecuador,hydro_consumption,66,52.38,126
Ecuador,hydro_share_energy,66,52.38,126
Ecuador,hydro_electricity,65,51.59,126
Ecuador,hydro_share_elec,85,67.46,126
Ecuador,solar_consumption,66,52.38,126
Ecuador,solar_share_energy,66,52.38,126
Ecuador,solar_electricity,65,51.59,126
Ecuador,solar_share_elec,85,67.46,126
Ecuador,wind_consumption,66,52.38,126
Ecuador,wind_share_energy,66,52.38,126
Ecuador,wind_electricity,65,51.59,126
Ecuador,wind_share_elec,85,67.46,126
Ecuador,biofuel_consumption,66,52.38,126
Ecuador,biofuel_share_energy,66,52.38,126
Ecuador,biofuel_electricity,100,79.37,126
Ecuador,biofuel_share_elec,100,79.37,126
Ecuador,nuclear_consumption,66,52.38,126
Ecuador,nuclear_share_energy,66,52.38,126
Ecuador,nuclear_electricity,65,51.59,126
Ecuador,nuclear_share_elec,85,67.46,126
Ecuador,carbon_intensity_elec,100,79.37,126
Ecuador,greenhouse_gas_emissions,100,79.37,126
Paraguay,population,0,0.0,46
Paraguay,gdp,3,6.52,46
Paraguay,primary_energy_consumption,2,4.35,46
Paraguay,energy_per_capita,2,4.35,46
Paraguay,energy_per_gdp,3,6.52,46
Paraguay,electricity_generation,20,43.48,46
Paraguay,electricity_demand,20,43.48,46
Paraguay,per_capita_electricity,20,43.48,46
Paraguay,fossil_share_energy,46,100.0,46
Paraguay,fossil_electricity,20,43.48,46
Paraguay,fossil_share_elec,20,43.48,46
Paraguay,coal_consumption,46,100.0,46
Paraguay,coal_share_energy,46,100.0,46
Paraguay,coal_electricity,20,43.48,46
