country,cluster,qtd_observacoes,ano_minimo,ano_maximo,modelo_id,algoritmo,k,seed
Argentina,0,26,2000,2025,kmeans_k2_seed0,kmeans,2,0
Bolivia,0,26,2000,2025,kmeans_k2_seed0,kmeans,2,0
Brazil,1,26,2000,2025,kmeans_k2_seed0,kmeans,2,0
Chile,0,23,2000,2022,kmeans_k2_seed0,kmeans,2,0
Chile,1,3,2023,2025,kmeans_k2_seed0,kmeans,2,0
Colombia,0,3,2015,2024,kmeans_k2_seed0,kmeans,2,0
Colombia,1,23,2000,2025,kmeans_k2_seed0,kmeans,2,0
Ecuador,0,17,2000,2016,kmeans_k2_seed0,kmeans,2,0
Ecuador,1,9,2017,2025,kmeans_k2_seed0,kmeans,2,0
Paraguay,1,26,2000,2025,kmeans_k2_seed0,kmeans,2,0
Peru,0,13,2008,2025,kmeans_k2_seed0,kmeans,2,0
Peru,1,13,2000,2021,kmeans_k2_seed0,kmeans,2,0
Uruguay,0,3,2006,2012,kmeans_k2_seed0,kmeans,2,0
Uruguay,1,23,2000,2025,kmeans_k2_seed0,kmeans,2,0
Venezuela,0,21,2000,2022,kmeans_k2_seed0,kmeans,2,0
Venezuela,1,4,2020,2024,kmeans_k2_seed0,kmeans,2,0
Argentina,0,26,2000,2025,kmeans_k2_seed1,kmeans,2,1
Bolivia,0,26,2000,2025,kmeans_k2_seed1,kmeans,2,1
Brazil,1,26,2000,2025,kmeans_k2_seed1,kmeans,2,1
Chile,0,23,2000,2022,kmeans_k2_seed1,kmeans,2,1
Chile,1,3,2023,2025,kmeans_k2_seed1,kmeans,2,1
Colombia,0,3,2015,2024,kmeans_k2_seed1,kmeans,2,1
Colombia,1,23,2000,2025,kmeans_k2_seed1,kmeans,2,1
Ecuador,0,17,2000,2016,kmeans_k2_seed1,kmeans,2,1
Ecuador,1,9,2017,2025,kmeans_k2_seed1,kmeans,2,1
Paraguay,1,26,2000,2025,kmeans_k2_seed1,kmeans,2,1
Peru,0,13,2008,2025,kmeans_k2_seed1,kmeans,2,1
Peru,1,13,2000,2021,kmeans_k2_seed1,kmeans,2,1
Uruguay,0,3,2006,2012,kmeans_k2_seed1,kmeans,2,1
Uruguay,1,23,2000,2025,kmeans_k2_seed1,kmeans,2,1
Venezuela,0,21,2000,2022,kmeans_k2_seed1,kmeans,2,1
Venezuela,1,4,2020,2024,kmeans_k2_seed1,kmeans,2,1
Argentina,1,26,2000,2025,kmeans_k2_seed7,kmeans,2,7
Bolivia,1,26,2000,2025,kmeans_k2_seed7,kmeans,2,7
Brazil,0,26,2000,2025,kmeans_k2_seed7,kmeans,2,7
Chile,0,3,2023,2025,kmeans_k2_seed7,kmeans,2,7
Chile,1,23,2000,2022,kmeans_k2_seed7,kmeans,2,7
Colombia,0,23,2000,2025,kmeans_k2_seed7,kmeans,2,7
Colombia,1,3,2015,2024,kmeans_k2_seed7,kmeans,2,7
Ecuador,0,9,2017,2025,kmeans_k2_seed7,kmeans,2,7
Ecuador,1,17,2000,2016,kmeans_k2_seed7,kmeans,2,7
Paraguay,0,26,2000,2025,kmeans_k2_seed7,kmeans,2,7
Peru,0,13,2000,2021,kmeans_k2_seed7,kmeans,2,7
Peru,1,13,2008,2025,kmeans_k2_seed7,kmeans,2,7
Uruguay,0,23,2000,2025,kmeans_k2_seed7,kmeans,2,7
Uruguay,1,3,2006,2012,kmeans_k2_seed7,kmeans,2,7
Venezuela,0,4,2020,2024,kmeans_k2_seed7,kmeans,2,7
Venezuela,1,21,2000,2022,kmeans_k2_seed7,kmeans,2,7
Argentina,0,26,2000,2025,kmeans_k2_seed21,kmeans,2,21
Bolivia,0,26,2000,2025,kmeans_k2_seed21,kmeans,2,21
Brazil,1,26,2000,2025,kmeans_k2_seed21,kmeans,2,21
Chile,0,23,2000,2022,kmeans_k2_seed21,kmeans,2,21
Chile,1,3,2023,2025,kmeans_k2_seed21,kmeans,2,21
Colombia,0,3,2015,2024,kmeans_k2_seed21,kmeans,2,21
Colombia,1,23,2000,2025,kmeans_k2_seed21,kmeans,2,21
Ecuador,0,17,2000,2016,kmeans_k2_seed21,kmeans,2,21
Ecuador,1,9,2017,2025,kmeans_k2_seed21,kmeans,2,21
Paraguay,1,26,2000,2025,kmeans_k2_seed21,kmeans,2,21
Peru,0,13,2008,2025,kmeans_k2_seed21,kmeans,2,21
Peru,1,13,2000,2021,kmeans_k2_seed21,kmeans,2,21
Uruguay,0,3,2006,2012,kmeans_k2_seed21,kmeans,2,21
Uruguay,1,23,2000,2025,kmeans_k2_seed21,kmeans,2,21
Venezuela,0,21,2000,2022,kmeans_k2_seed21,kmeans,2,21
Venezuela,1,4,2020,2024,kmeans_k2_seed21,kmeans,2,21
Argentina,0,26,2000,2025,kmeans_k2_seed42,kmeans,2,42
Bolivia,0,26,2000,2025,kmeans_k2_seed42,kmeans,2,42
Brazil,1,26,2000,2025,kmeans_k2_seed42,kmeans,2,42
Chile,0,23,2000,2022,kmeans_k2_seed42,kmeans,2,42
Chile,1,3,2023,2025,kmeans_k2_seed42,kmeans,2,42
Colombia,0,3,2015,2024,kmeans_k2_seed42,kmeans,2,42
Colombia,1,23,2000,2025,kmeans_k2_seed42,kmeans,2,42
Ecuador,0,17,2000,2016,kmeans_k2_seed42,kmeans,2,42
Ecuador,1,9,2017,2025,kmeans_k2_seed42,kmeans,2,42
Paraguay,1,26,2000,2025,kmeans_k2_seed42,kmeans,2,42
