algoritmo,k,modelo_a,modelo_b,seed_a,seed_b,adjusted_rand_index,normalized_mutual_info,observacao
kmeans,2,kmeans_k2_seed0,kmeans_k2_seed1,0.0,1.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed0,kmeans_k2_seed7,0.0,7.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed0,kmeans_k2_seed21,0.0,21.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed0,kmeans_k2_seed42,0.0,42.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed0,kmeans_k2_seed99,0.0,99.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed0,kmeans_k2_seed123,0.0,123.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed0,kmeans_k2_seed2024,0.0,2024.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed1,kmeans_k2_seed7,1.0,7.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed1,kmeans_k2_seed21,1.0,21.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed1,kmeans_k2_seed42,1.0,42.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed1,kmeans_k2_seed99,1.0,99.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed1,kmeans_k2_seed123,1.0,123.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed1,kmeans_k2_seed2024,1.0,2024.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed7,kmeans_k2_seed21,7.0,21.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed7,kmeans_k2_seed42,7.0,42.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed7,kmeans_k2_seed99,7.0,99.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed7,kmeans_k2_seed123,7.0,123.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed7,kmeans_k2_seed2024,7.0,2024.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed21,kmeans_k2_seed42,21.0,42.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed21,kmeans_k2_seed99,21.0,99.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed21,kmeans_k2_seed123,21.0,123.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed21,kmeans_k2_seed2024,21.0,2024.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed42,kmeans_k2_seed99,42.0,99.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed42,kmeans_k2_seed123,42.0,123.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed42,kmeans_k2_seed2024,42.0,2024.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed99,kmeans_k2_seed123,99.0,123.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed99,kmeans_k2_seed2024,99.0,2024.0,1.0,1.0,Comparacao par a par entre execucoes.
kmeans,2,kmeans_k2_seed123,kmeans_k2_seed2024,123.0,2024.0,1.0,1.0,Comparacao par a par entre execucoes.
