country,year,real,predito,modelo
Argentina,2023,baixa_transicao,baixa_transicao,decision_tree
Argentina,2024,baixa_transicao,baixa_transicao,decision_tree
Argentina,2025,baixa_transicao,baixa_transicao,decision_tree
Bolivia,2023,baixa_transicao,baixa_transicao,decision_tree
Bolivia,2024,baixa_transicao,baixa_transicao,decision_tree
Bolivia,2025,baixa_transicao,baixa_transicao,decision_tree
Brazil,2023,transicao_avancada,transicao_intermediaria,decision_tree
Brazil,2024,transicao_avancada,transicao_intermediaria,decision_tree
Brazil,2025,transicao_avancada,transicao_avancada,decision_tree
Chile,2023,transicao_avancada,transicao_intermediaria,decision_tree
Chile,2024,transicao_avancada,transicao_intermediaria,decision_tree
Chile,2025,transicao_avancada,baixa_transicao,decision_tree
Colombia,2023,transicao_avancada,transicao_avancada,decision_tree
Colombia,2024,baixa_transicao,baixa_transicao,decision_tree
Colombia,2025,transicao_avancada,transicao_avancada,decision_tree
Ecuador,2023,transicao_avancada,transicao_avancada,decision_tree
Ecuador,2024,transicao_avancada,transicao_avancada,decision_tree
Ecuador,2025,transicao_avancada,transicao_avancada,decision_tree
Paraguay,2023,transicao_avancada,transicao_avancada,decision_tree
Paraguay,2024,transicao_avancada,transicao_avancada,decision_tree
Paraguay,2025,transicao_avancada,transicao_avancada,decision_tree
Peru,2023,baixa_transicao,baixa_transicao,decision_tree
Peru,2024,baixa_transicao,baixa_transicao,decision_tree
Peru,2025,baixa_transicao,transicao_avancada,decision_tree
Uruguay,2023,transicao_avancada,transicao_avancada,decision_tree
Uruguay,2024,transicao_avancada,transicao_avancada,decision_tree
Uruguay,2025,transicao_avancada,transicao_avancada,decision_tree
Venezuela,2023,transicao_avancada,transicao_intermediaria,decision_tree
Venezuela,2024,transicao_avancada,transicao_intermediaria,decision_tree
Argentina,2023,baixa_transicao,baixa_transicao,logistic_regression
Argentina,2024,baixa_transicao,baixa_transicao,logistic_regression
Argentina,2025,baixa_transicao,baixa_transicao,logistic_regression
Bolivia,2023,baixa_transicao,baixa_transicao,logistic_regression
Bolivia,2024,baixa_transicao,baixa_transicao,logistic_regression
Bolivia,2025,baixa_transicao,baixa_transicao,logistic_regression
Brazil,2023,transicao_avancada,transicao_avancada,logistic_regression
Brazil,2024,transicao_avancada,transicao_avancada,logistic_regression
Brazil,2025,transicao_avancada,transicao_avancada,logistic_regression
Chile,2023,transicao_avancada,transicao_avancada,logistic_regression
Chile,2024,transicao_avancada,transicao_avancada,logistic_regression
Chile,2025,transicao_avancada,transicao_avancada,logistic_regression
Colombia,2023,transicao_avancada,transicao_avancada,logistic_regression
Colombia,2024,baixa_transicao,baixa_transicao,logistic_regression
Colombia,2025,transicao_avancada,transicao_avancada,logistic_regression
Ecuador,2023,transicao_avancada,transicao_avancada,logistic_regression
Ecuador,2024,transicao_avancada,transicao_avancada,logistic_regression
Ecuador,2025,transicao_avancada,transicao_avancada,logistic_regression
Paraguay,2023,transicao_avancada,transicao_avancada,logistic_regression
Paraguay,2024,transicao_avancada,transicao_avancada,logistic_regression
Paraguay,2025,transicao_avancada,transicao_avancada,logistic_regression
Peru,2023,baixa_transicao,baixa_transicao,logistic_regression
Peru,2024,baixa_transicao,baixa_transicao,logistic_regression
Peru,2025,baixa_transicao,baixa_transicao,logistic_regression
Uruguay,2023,transicao_avancada,transicao_avancada,logistic_regression
Uruguay,2024,transicao_avancada,transicao_avancada,logistic_regression
Uruguay,2025,transicao_avancada,transicao_avancada,logistic_regression
Venezuela,2023,transicao_avancada,transicao_avancada,logistic_regression
Venezuela,2024,transicao_avancada,transicao_avancada,logistic_regression
Argentina,2023,baixa_transicao,baixa_transicao,knn
Argentina,2024,baixa_transicao,baixa_transicao,knn
Argentina,2025,baixa_transicao,baixa_transicao,knn
Bolivia,2023,baixa_transicao,baixa_transicao,knn
Bolivia,2024,baixa_transicao,baixa_transicao,knn
Bolivia,2025,baixa_transicao,baixa_transicao,knn
Brazil,2023,transicao_avancada,transicao_avancada,knn
Brazil,2024,transicao_avancada,transicao_avancada,knn
Brazil,2025,transicao_avancada,transicao_avancada,knn
Chile,2023,transicao_avancada,transicao_avancada,knn
Chile,2024,transicao_avancada,transicao_avancada,knn
Chile,2025,transicao_avancada,transicao_avancada,knn
Colombia,2023,transicao_avancada,transicao_avancada,knn
Colombia,2024,baixa_transicao,baixa_transicao,knn
Colombia,2025,transicao_avancada,transicao_avancada,knn
Ecuador,2023,transicao_avancada,transicao_avancada,knn
Ecuador,2024,transicao_avancada,baixa_transicao,knn
Ecuador,2025,transicao_avancada,transicao_avancada,knn
Paraguay,2023,transicao_avancada,transicao_avancada,knn
Paraguay,2024,transicao_avancada,transicao_avancada,knn
Paraguay,2025,transicao_avancada,transicao_avancada,knn
Peru,2023,baixa_transicao,baixa_transicao,knn
Peru,2024,baixa_transicao,baixa_transicao,knn
Peru,2025,baixa_transicao,baixa_transicao,knn
Uruguay,2023,transicao_avancada,transicao_avancada,knn
Uruguay,2024,transicao_avancada,transicao_avancada,knn
Uruguay,2025,transicao_avancada,transicao_avancada,knn
Venezuela,2023,transicao_avancada,transicao_avancada,knn
Venezuela,2024,transicao_avancada,transicao_avancada,knn
Argentina,2023,baixa_transicao,baixa_transicao,svm_rbf
Argentina,2024,baixa_transicao,baixa_transicao,svm_rbf
Argentina,2025,baixa_transicao,baixa_transicao,svm_rbf
Bolivia,2023,baixa_transicao,baixa_transicao,svm_rbf
Bolivia,2024,baixa_transicao,baixa_transicao,svm_rbf
Bolivia,2025,baixa_transicao,baixa_transicao,svm_rbf
Brazil,2023,transicao_avancada,transicao_avancada,svm_rbf
Brazil,2024,transicao_avancada,transicao_avancada,svm_rbf
Brazil,2025,transicao_avancada,transicao_avancada,svm_rbf
Chile,2023,transicao_avancada,transicao_avancada,svm_rbf
Chile,2024,transicao_avancada,transicao_avancada,svm_rbf
Chile,2025,transicao_avancada,transicao_avancada,svm_rbf
Colombia,2023,transicao_avancada,transicao_avancada,svm_rbf
Colombia,2024,baixa_transicao,baixa_transicao,svm_rbf
Colombia,2025,transicao_avancada,transicao_avancada,svm_rbf
Ecuador,2023,transicao_avancada,transicao_avancada,svm_rbf
Ecuador,2024,transicao_avancada,baixa_transicao,svm_rbf
Ecuador,2025,transicao_avancada,transicao_avancada,svm_rbf
Paraguay,2023,transicao_avancada,transicao_avancada,svm_rbf
Paraguay,2024,transicao_avancada,transicao_avancada,svm_rbf
Paraguay,2025,transicao_avancada,transicao_avancada,svm_rbf
Peru,2023,baixa_transicao,baixa_transicao,svm_rbf
Peru,2024,baixa_transicao,baixa_transicao,svm_rbf
Peru,2025,baixa_transicao,baixa_transicao,svm_rbf
Uruguay,2023,transicao_avancada,transicao_avancada,svm_rbf
Uruguay,2024,transicao_avancada,transicao_avancada,svm_rbf
Uruguay,2025,transicao_avancada,transicao_avancada,svm_rbf
Venezuela,2023,transicao_avancada,transicao_avancada,svm_rbf
Venezuela,2024,transicao_avancada,transicao_avancada,svm_rbf
Argentina,2023,baixa_transicao,baixa_transicao,random_forest
Argentina,2024,baixa_transicao,baixa_transicao,random_forest
Argentina,2025,baixa_transicao,baixa_transicao,random_forest
Bolivia,2023,baixa_transicao,baixa_transicao,random_forest
Bolivia,2024,baixa_transicao,baixa_transicao,random_forest
Bolivia,2025,baixa_transicao,baixa_transicao,random_forest
Brazil,2023,transicao_avancada,transicao_avancada,random_forest
Brazil,2024,transicao_avancada,transicao_avancada,random_forest
Brazil,2025,transicao_avancada,transicao_avancada,random_forest
Chile,2023,transicao_avancada,transicao_avancada,random_forest
Chile,2024,transicao_avancada,transicao_avancada,random_forest
Chile,2025,transicao_avancada,transicao_avancada,random_forest
Colombia,2023,transicao_avancada,transicao_avancada,random_forest
Colombia,2024,baixa_transicao,baixa_transicao,random_forest
Colombia,2025,transicao_avancada,transicao_avancada,random_forest
Ecuador,2023,transicao_avancada,transicao_avancada,random_forest
Ecuador,2024,transicao_avancada,transicao_avancada,random_forest
Ecuador,2025,transicao_avancada,transicao_avancada,random_forest
Paraguay,2023,transicao_avancada,transicao_avancada,random_forest
Paraguay,2024,transicao_avancada,transicao_avancada,random_forest
Paraguay,2025,transicao_avancada,transicao_avancada,random_forest
Peru,2023,baixa_transicao,baixa_transicao,random_forest
Peru,2024,baixa_transicao,baixa_transicao,random_forest
Peru,2025,baixa_transicao,transicao_avancada,random_forest
Uruguay,2023,transicao_avancada,transicao_avancada,random_forest
Uruguay,2024,transicao_avancada,transicao_avancada,random_forest
Uruguay,2025,transicao_avancada,transicao_avancada,random_forest
Venezuela,2023,transicao_avancada,transicao_avancada,random_forest
Venezuela,2024,transicao_avancada,transicao_avancada,random_forest
